date,hour,station,line,pax_TOTAL
2024-03-01,11,Jujuy,E,163
2024-03-01,11,Las Heras,H,328
2024-03-01,11,Lavalle,C,204
2024-03-01,11,Leandro N. Alem,B,499
2024-03-01,11,Lima,A,275
2024-03-01,11,Loria,A,384
2024-03-01,11,Los Incas,B,334
2024-03-01,11,Malabia,B,730
2024-03-01,11,Mariano Moreno,C,149
2024-03-01,11,Medalla Milagrosa,E,90
2024-03-01,11,Medrano,B,812
2024-03-01,11,Ministro Carranza,D,2
2024-03-01,11,Once,H,700
2024-03-01,11,Pasco,A,138
2024-03-01,11,Pasteur,B,601
2024-03-01,11,Patricios,H,368
2024-03-01,11,Peru,A,9
2024-03-01,11,Pichincha,E,124
2024-03-01,11,Piedras,A,336
2024-03-01,11,Plaza Italia,D,3
2024-03-01,11,Plaza Miserere,A,833
2024-03-01,11,Plaza de Mayo,A,671
2024-03-01,11,Primera Junta,A,589
2024-03-01,11,Puan,A,293
2024-03-01,11,Pueyrredon,B,645
2024-03-01,11,Pueyrredon.D,D,3
2024-03-01,11,Pza. de los Virreyes,E,377
2024-03-01,11,Retiro,C,1316
2024-03-01,11,Retiro E,E,274
2024-03-01,11,Rio de Janeiro,A,499
2024-03-01,11,Rosas,B,1120
2024-03-01,11,Saenz Pena ,A,313
2024-03-01,11,San Jose,E,117
2024-03-01,11,San Juan,C,167
2024-03-01,11,San Pedrito,A,1221
2024-03-01,11,Santa Fe,H,641
2024-03-01,11,Scalabrini Ortiz,D,1
2024-03-01,11,Tronador,B,234
2024-03-01,11,Urquiza,E,165
2024-03-01,11,Uruguay,B,600
2024-03-01,11,Varela,E,116
2024-03-01,11,Venezuela,H,313
2024-03-01,12,Acoyte,A,739
2024-03-01,12,Alberti,A,9
2024-03-01,12,Angel Gallardo,B,763
2024-03-01,12,Avenida La Plata,E,318
2024-03-01,12,Avenida de Mayo,C,236
2024-03-01,12,Boedo,E,263
2024-03-01,12,Bolivar,E,432
2024-03-01,12,Bulnes,D,1
2024-03-01,12,Callao.B,B,804
2024-03-01,12,Carabobo,A,456
2024-03-01,12,Carlos Gardel,B,680
2024-03-01,12,Carlos Pellegrini,B,786
2024-03-01,12,Caseros,H,425
2024-03-01,12,Castro Barros,A,449
2024-03-01,12,Catalinas,E,102
2024-03-01,12,Catedral,D,1
2024-03-01,12,Congreso,A,37
2024-03-01,12,Constitucion,C,2619
2024-03-01,12,Cordoba,H,538
2024-03-01,12,Correo Central,E,193
2024-03-01,12,Corrientes,H,234
2024-03-01,12,Diagonal Norte,C,217
2024-03-01,12,Dorrego,B,521
2024-03-01,12,Echeverria,B,243
2024-03-01,12,Emilio Mitre,E,191
2024-03-01,12,Entre Rios,E,230
2024-03-01,12,Facultad de Derecho,H,137
2024-03-01,12,Federico Lacroze,B,1235
2024-03-01,12,Flores,A,547
2024-03-01,12,Florida,B,786
